evaluation_id,claim_id,baseline_point_id,candidate_point_id,metric,baseline,candidate,delta,delta_percent
writer_component,slvc_dma_writer_reservation_component_paired_dc,writer_component_w0,writer_component_w1,total_cell_area,7526.204,6926.64,-599.564,-7.966353
writer_component,slvc_dma_writer_reservation_component_paired_dc,writer_component_w0,writer_component_w1,combinational_area,2945.684,2479.12,-466.564,-15.838902
writer_component,slvc_dma_writer_reservation_component_paired_dc,writer_component_w0,writer_component_w1,leaf_cell_count,3557,3049,-508,-14.281698
writer_component,slvc_dma_writer_reservation_component_paired_dc,writer_component_w0,writer_component_w1,register_count,864,839,-25,-2.893519
writer_component,slvc_dma_writer_reservation_component_paired_dc,writer_component_w0,writer_component_w1,setup_wns_ns,0.00494885,0.00144708,-0.00350177,-70.759267
writer_component,slvc_dma_writer_reservation_component_paired_dc,writer_component_w0,writer_component_w1,reservation_object_count,224,54,-170,-75.892857
c2b4_writer,slvc_dma_c2b4_writer_subsystem_paired_dc,c2b4_writer_w0,c2b4_writer_w1,total_cell_area,947008.411998,946900.149998,-108.262,-0.011432
c2b4_writer,slvc_dma_c2b4_writer_subsystem_paired_dc,c2b4_writer_w0,c2b4_writer_w1,combinational_area,429928.352002,429982.882002,54.53,0.012684
c2b4_writer,slvc_dma_c2b4_writer_subsystem_paired_dc,c2b4_writer_w0,c2b4_writer_w1,writer_area,4637.976,7160.72,2522.744,54.393209
c2b4_writer,slvc_dma_c2b4_writer_subsystem_paired_dc,c2b4_writer_w0,c2b4_writer_w1,setup_wns_ns,0.0014981,0.00095892,-0.00053918,-35.990922
c2b4_writer,slvc_dma_c2b4_writer_subsystem_paired_dc,c2b4_writer_w0,c2b4_writer_w1,writer_setup_wns_ns,0.0392413,0.0172149,-0.0220264,-56.130658
c2b4_writer,slvc_dma_c2b4_writer_subsystem_paired_dc,c2b4_writer_w0,c2b4_writer_w1,reservation_object_count,224,54,-170,-75.892857
shared_pool_scheduler,slvc_dma_shared_pool_scheduler_paired_dc,shared_pool_p6,shared_pool_p7,total_cell_area,340911.984,340977.42,65.436,0.019194
shared_pool_scheduler,slvc_dma_shared_pool_scheduler_paired_dc,shared_pool_p6,shared_pool_p7,combinational_area,154190.624,153979.42,-211.204,-0.136976
shared_pool_scheduler,slvc_dma_shared_pool_scheduler_paired_dc,shared_pool_p6,shared_pool_p7,sequential_area,186721.36,186998,276.64,0.148157
shared_pool_scheduler,slvc_dma_shared_pool_scheduler_paired_dc,shared_pool_p6,shared_pool_p7,leaf_cell_count,169067,168825,-242,-0.143139
shared_pool_scheduler,slvc_dma_shared_pool_scheduler_paired_dc,shared_pool_p6,shared_pool_p7,register_count,40714,40766,52,0.12772
shared_pool_scheduler,slvc_dma_shared_pool_scheduler_paired_dc,shared_pool_p6,shared_pool_p7,setup_wns_ns,0.00116277,0.00887609,0.00771332,663.357328
