comparison_id,comparison_group,scope,workload_id,baseline_point,candidate_point,metric,baseline,candidate,delta,delta_percent,formula
c2b4_clock_gating_dc__idle__area_total_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,area_total_um2,946749.061998000000,946078.741998000000,-670.320000000000,-0.070802288263,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__area_combinational_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,area_combinational_um2,429844.296002000000,429072.630002000000,-771.666000000000,-0.179522214713,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__area_sequential_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,area_sequential_um2,516904.766000000000,517006.112000000000,101.346000000000,0.019606319513,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__cell_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,cell_count,472128.000000000000,470913.000000000000,-1215.000000000000,-0.257345465636,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__register_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,register_count,113741.000000000000,113753.000000000000,12.000000000000,0.010550285297,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__buffer_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,buffer_count,NA,NA,NA,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__wns_ns,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,wns_ns,0.003361820000,0.005806680000,0.002444860000,72.724298148027,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__tns_ns,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,tns_ns,0.000000000000,0.000000000000,0.000000000000,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__dynamic_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,dynamic_mw,390.002509000000,388.002647000000,-1.999862000000,-0.512781829309,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__clock_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,clock_mw,0.000000000000,0.025773400000,0.025773400000,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__sequential_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,sequential_mw,389.440739400000,387.410738200000,-2.030001200000,-0.521260616731,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__combinational_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,combinational_mw,0.005218600000,0.005712800000,0.000494200000,9.469972789637,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__net_switching_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,net_switching_mw,0.002509000000,0.002647000000,0.000138000000,5.500199282583,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__leakage_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,leakage_mw,15.500000000000,15.400000000000,-0.100000000000,-0.645161290323,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__total_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,total_mw,405.000000000000,403.000000000000,-2.000000000000,-0.493827160494,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__throughput_bytes_per_s,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,throughput_bytes_per_s,0.000000000000,0.000000000000,0.000000000000,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__clock_plus_sequential_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,clock_plus_sequential_mw,389.440739400000,387.436511600000,-2.004227800000,-0.514642562329,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__idle__incremental_energy_per_byte_nj,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,incremental_energy_per_byte_nj,NA,NA,NA,NA,incremental=(P_workload-P_idle)*1000000/throughput_Bps
c2b4_clock_gating_dc__idle__dynamic_energy_per_byte_nj,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,dynamic_energy_per_byte_nj,NA,NA,NA,NA,dynamic=P_dynamic*1000000/throughput_Bps
c2b4_clock_gating_dc__bursty__area_total_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,area_total_um2,946749.061998000000,946078.741998000000,-670.320000000000,-0.070802288263,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__area_combinational_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,area_combinational_um2,429844.296002000000,429072.630002000000,-771.666000000000,-0.179522214713,delta=candidate-baseline;delta_percent=100*delta/baseline
