"verification_id","point_id","comparison_group","variant","scope","workload_id","platform","simulator","suite","required_marker","marker_status","trace_sha256","log_sha256","status"
"c2b4_clock_gating_idle_g0_windows_modelsim","c2b4_clock_gating_idle_baseline","c2b4_clock_gating_dc","G0","c2b4_rx512_mapped_dc","idle","Windows","ModelSim","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_IDLE_PASS","PASS","e5739c0c0c4b8d75f7624940f1c6fb25c7c80dcd1d0d794d76c97b847ec670d0","6fe12af8403b64dac65567e15a12be36f8500afe92f9826f916add2658262900","PASS"
"c2b4_clock_gating_idle_g0_linux_questa","c2b4_clock_gating_idle_baseline","c2b4_clock_gating_dc","G0","c2b4_rx512_mapped_dc","idle","Linux","Questa","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_IDLE_PASS","PASS","e5739c0c0c4b8d75f7624940f1c6fb25c7c80dcd1d0d794d76c97b847ec670d0","6fe12af8403b64dac65567e15a12be36f8500afe92f9826f916add2658262900","PASS"
"c2b4_clock_gating_bursty_g0_windows_modelsim","c2b4_clock_gating_bursty_baseline","c2b4_clock_gating_dc","G0","c2b4_rx512_mapped_dc","bursty","Windows","ModelSim","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_BURSTY_PASS","PASS","385be3b44377d8ba42dff33478781e96561fd3a2573776d2d5544751e76401d6","e86b0bb895e9219a124d927361bebd4ea129206910fb7e7890d226fe247e9cb8","PASS"
"c2b4_clock_gating_bursty_g0_linux_questa","c2b4_clock_gating_bursty_baseline","c2b4_clock_gating_dc","G0","c2b4_rx512_mapped_dc","bursty","Linux","Questa","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_BURSTY_PASS","PASS","385be3b44377d8ba42dff33478781e96561fd3a2573776d2d5544751e76401d6","e86b0bb895e9219a124d927361bebd4ea129206910fb7e7890d226fe247e9cb8","PASS"
"c2b4_clock_gating_saturated_g0_windows_modelsim","c2b4_clock_gating_saturated_baseline","c2b4_clock_gating_dc","G0","c2b4_rx512_mapped_dc","saturated","Windows","ModelSim","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_SATURATED_PASS","PASS","e838dfc4cbeb07f6ed22d42e4103d8b1dac512e63d76c3ac898c18244732a8ac","64f0efb268080d9297c1eb40934861ef7312ad044a495fe560b5b6fe9fd0c095","PASS"
"c2b4_clock_gating_saturated_g0_linux_questa","c2b4_clock_gating_saturated_baseline","c2b4_clock_gating_dc","G0","c2b4_rx512_mapped_dc","saturated","Linux","Questa","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_SATURATED_PASS","PASS","e838dfc4cbeb07f6ed22d42e4103d8b1dac512e63d76c3ac898c18244732a8ac","64f0efb268080d9297c1eb40934861ef7312ad044a495fe560b5b6fe9fd0c095","PASS"
"c2b4_clock_gating_idle_g1_windows_modelsim","c2b4_clock_gating_idle_candidate","c2b4_clock_gating_dc","G1","c2b4_rx512_mapped_dc","idle","Windows","ModelSim","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_IDLE_PASS","PASS","e5739c0c0c4b8d75f7624940f1c6fb25c7c80dcd1d0d794d76c97b847ec670d0","6fe12af8403b64dac65567e15a12be36f8500afe92f9826f916add2658262900","PASS"
"c2b4_clock_gating_idle_g1_linux_questa","c2b4_clock_gating_idle_candidate","c2b4_clock_gating_dc","G1","c2b4_rx512_mapped_dc","idle","Linux","Questa","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_IDLE_PASS","PASS","e5739c0c0c4b8d75f7624940f1c6fb25c7c80dcd1d0d794d76c97b847ec670d0","6fe12af8403b64dac65567e15a12be36f8500afe92f9826f916add2658262900","PASS"
"c2b4_clock_gating_bursty_g1_windows_modelsim","c2b4_clock_gating_bursty_candidate","c2b4_clock_gating_dc","G1","c2b4_rx512_mapped_dc","bursty","Windows","ModelSim","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_BURSTY_PASS","PASS","385be3b44377d8ba42dff33478781e96561fd3a2573776d2d5544751e76401d6","e86b0bb895e9219a124d927361bebd4ea129206910fb7e7890d226fe247e9cb8","PASS"
"c2b4_clock_gating_bursty_g1_linux_questa","c2b4_clock_gating_bursty_candidate","c2b4_clock_gating_dc","G1","c2b4_rx512_mapped_dc","bursty","Linux","Questa","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_BURSTY_PASS","PASS","385be3b44377d8ba42dff33478781e96561fd3a2573776d2d5544751e76401d6","e86b0bb895e9219a124d927361bebd4ea129206910fb7e7890d226fe247e9cb8","PASS"
"c2b4_clock_gating_saturated_g1_windows_modelsim","c2b4_clock_gating_saturated_candidate","c2b4_clock_gating_dc","G1","c2b4_rx512_mapped_dc","saturated","Windows","ModelSim","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_SATURATED_PASS","PASS","e838dfc4cbeb07f6ed22d42e4103d8b1dac512e63d76c3ac898c18244732a8ac","64f0efb268080d9297c1eb40934861ef7312ad044a495fe560b5b6fe9fd0c095","PASS"
"c2b4_clock_gating_saturated_g1_linux_questa","c2b4_clock_gating_saturated_candidate","c2b4_clock_gating_dc","G1","c2b4_rx512_mapped_dc","saturated","Linux","Questa","power_c2b4_a1_rtl_contract_reuse","POWER_C2B4_WORKLOAD_SATURATED_PASS","PASS","e838dfc4cbeb07f6ed22d42e4103d8b1dac512e63d76c3ac898c18244732a8ac","64f0efb268080d9297c1eb40934861ef7312ad044a495fe560b5b6fe9fd0c095","PASS"
