artifact_id,variant,logical_name,sha256,size_bytes
s0__collection_probe_marker,S0,collection_probe_marker,ed5163be3b882d57e37b125fa5d889968ce651eff9ced0e61246b1e1a7274d48,26
s0__collection_probe_summary,S0,collection_probe_summary,83f359d28e4d53f2f27c13c4bdda670ef78531b6f9383d4ad672ed7f1b03926f,139
s0__activity_bursty_report,S0,activity_bursty_report,f67865f467ffbec6a5b6785d93b8d4f84b10220fe7623a43a6046ab95a38ed76,830
s0__activity_coverage_summary,S0,activity_coverage_summary,2171612fd6aa467a0d27da329609752ef1f96ba9d875a3d340c95437372ef0a3,3541
s0__activity_defaults_bursty_report,S0,activity_defaults_bursty_report,1fe5e711203bd13859baf6d427ea6495e1b7fa6ff81a153436008ea5d27d79a2,67
s0__activity_defaults_idle_report,S0,activity_defaults_idle_report,1fe5e711203bd13859baf6d427ea6495e1b7fa6ff81a153436008ea5d27d79a2,67
s0__activity_defaults_saturated_report,S0,activity_defaults_saturated_report,1fe5e711203bd13859baf6d427ea6495e1b7fa6ff81a153436008ea5d27d79a2,67
s0__activity_idle_report,S0,activity_idle_report,23cbacc165da9be062228ee89abfd57c51a7a5daa6201a164150bffd67a60091,830
s0__activity_inputs_bursty_report,S0,activity_inputs_bursty_report,f85e42cbc2a541fc6f07fc7be48f4022faa972ae3b9c5588e80ea591c567ace1,814
s0__activity_inputs_idle_report,S0,activity_inputs_idle_report,98b2909531222ee0d091861b97c89abe419bac00791cb3082a600f528513cf71,814
s0__activity_inputs_saturated_report,S0,activity_inputs_saturated_report,5db0f5a572feee12a4ee646386cc7b1fbbfaa247baf4343eca7e2c99bce34d3e,814
s0__activity_name_map_bursty_report,S0,activity_name_map_bursty_report,a4803fe08f048512f9274a1b6df387c13f5f59157be83dc8b092ff2108ef8ed1,1044
s0__activity_name_map_idle_report,S0,activity_name_map_idle_report,923cd540a442f0a632606ca26fd2dc590992af21f6a9f4f5829cad3940ad03c5,1044
s0__activity_name_map_saturated_report,S0,activity_name_map_saturated_report,0e0ccbd4839d4c33e88c97b1c1bdb11608f6a770db3ed7f1e4b9d8bf3922d509,1044
s0__activity_saturated_report,S0,activity_saturated_report,42d540a4e139271ebc0bb837a26fca223cfb15d4f2e77e9650d692546898b47a,830
s0__activity_sequential_bursty_report,S0,activity_sequential_bursty_report,84e312462a965993045dc611c0d9d62d8d6bb2fe34938ccbd5b272a33acab319,816
s0__activity_sequential_idle_report,S0,activity_sequential_idle_report,0d7dc42be5cca716ee785a65b34bfd856d73e0ebcec7a403357cf993e0e8b2ac,816
s0__activity_sequential_saturated_report,S0,activity_sequential_saturated_report,0b0b46856798b7f85aa684f9cb76ad37554edc3c30211705bfca7141e1dde0f4,816
s0__area_report,S0,area_report,8af4aba4c3b947345a0dc4ccfdcf470d1f1f5a2218614fcd6e3316c77f7f2a1a,3188
s0__dc_summary,S0,dc_summary,14ab0e58a819626f123ec63a22c1730d7cb8b0eb36e8ffdcd4c9776cd8ac8d67,481
s0__experiment_interface,S0,experiment_interface,5f3b41467cbfa712d9dcb3f219df18f593b7ec72abfcf16f6e9b45226f505e06,715
s0__hold_report,S0,hold_report,4c14ee3e8d0f3e03f7e9a73ae396337522ab6098b0ee512925246facad8313e9,43506
s0__icg_collection,S0,icg_collection,85b7c109e3484d2298e837f1c1e1afad58e570b12a740b92f894de49145c41ba,7429016
s0__icg_summary,S0,icg_summary,4c60702a8b89a6ac4f97ef9c55c3e0cb8234ba0843c3b09a4b2519d73539d265,186
s0__mapped_ddc,S0,mapped_ddc,14d2a0285b7e39c68a3371c3ca6b79280026223380b9d1e93cca7e58e80f9d10,21470976
s0__mapped_gls_bursty_marker,S0,mapped_gls_bursty_marker,a4e63e62d76c47fa356c3e552617a0beb3c13fb6697335205447571b4bbb03d5,32
s0__mapped_gls_bursty_summary,S0,mapped_gls_bursty_summary,7dfc722f3f699454894d198e37f9a0cf6fb552c3bcc6c9e860babaf7ce3eda0e,334
s0__mapped_gls_bursty_trace,S0,mapped_gls_bursty_trace,385be3b44377d8ba42dff33478781e96561fd3a2573776d2d5544751e76401d6,134889
s0__mapped_gls_bursty_transcript,S0,mapped_gls_bursty_transcript,7e44262c343e4e2dd4fcd7716c6d2461b0c49cf379c053073712484369ad18b3,51290607
s0__mapped_gls_bursty_vcd,S0,mapped_gls_bursty_vcd,c6907aa5b7e8fdf8920e68d14e967dabef67cd27d47e7750f5b4a4d456729274,150133292
s0__mapped_gls_cell_model,S0,mapped_gls_cell_model,02292a25de5daa674cd0f33b3e2dfcb7ff333ef7860232ccf87b9cc658347c73,17082
s0__mapped_gls_idle_marker,S0,mapped_gls_idle_marker,750ce6cca98885c24ef0567c5695c85103c5e664dc9b24c1ac9ff1bba455a18e,30
s0__mapped_gls_idle_summary,S0,mapped_gls_idle_summary,de3eeb513a6a2574cbe0b2abbdc4512d42eff6e57b786981de622a99ce563529,317
