comparison_id,workload,metric,baseline,candidate,delta,delta_percent,unit
idle_total_area_um2,idle,total_area_um2,946749.061998,749598.107999,-197150.953999,-20.8239925353542605200602866,um2
idle_combinational_area_um2,idle,combinational_area_um2,429844.296002,229293.596,-200550.700002,-46.65659213518256577197812779,um2
idle_sequential_area_um2,idle,sequential_area_um2,516904.766,520304.512,3399.746,0.6577122564197831366097328652,um2
idle_dynamic_mw,idle,dynamic_mw,212,26.900000000000002,-185.099999999999998,-87.31132075471698018867924528,mW
idle_clock_plus_sequential_mw,idle,clock_plus_sequential_mw,212.08,26.8540000000000002,-185.2259999999999998,-87.33779705771407006789890607,mW
idle_leakage_mw,idle,leakage_mw,17.599999999999998,13.399999999999999,-4.199999999999999,-23.86363636363636066632231405,mW
idle_total_mw,idle,total_mw,230,40.2,-189.8,-82.52173913043478260869565217,mW
bursty_total_area_um2,bursty,total_area_um2,946749.061998,749598.107999,-197150.953999,-20.8239925353542605200602866,um2
bursty_combinational_area_um2,bursty,combinational_area_um2,429844.296002,229293.596,-200550.700002,-46.65659213518256577197812779,um2
bursty_sequential_area_um2,bursty,sequential_area_um2,516904.766,520304.512,3399.746,0.6577122564197831366097328652,um2
bursty_dynamic_mw,bursty,dynamic_mw,389.33,47.07,-342.26,-87.90999922944545758097243983,mW
bursty_clock_plus_sequential_mw,bursty,clock_plus_sequential_mw,381.6276791,39.95121370000001,-341.67646539999999,-89.53136371182044850792375348,mW
bursty_leakage_mw,bursty,leakage_mw,17.599999999999998,13.399999999999999,-4.199999999999999,-23.86363636363636066632231405,mW
bursty_total_mw,bursty,total_mw,407,60.4,-346.6,-85.15970515970515970515970516,mW
bursty_dynamic_energy_pj_per_byte,bursty,dynamic_energy_pj_per_byte,70.78727272727272727272727273,8.558181818181818181818181818,-62.22909090909090909090909091,-87.90999922944545758097243983,pJ/B
bursty_incremental_total_energy_pj_per_byte,bursty,incremental_total_energy_pj_per_byte,32.18181818181818181818181818,3.672727272727272727272727273,-28.50909090909090909090909091,-88.58757062146892655367231639,pJ/B
saturated_total_area_um2,saturated,total_area_um2,946749.061998,749598.107999,-197150.953999,-20.8239925353542605200602866,um2
saturated_combinational_area_um2,saturated,combinational_area_um2,429844.296002,229293.596,-200550.700002,-46.65659213518256577197812779,um2
saturated_sequential_area_um2,saturated,sequential_area_um2,516904.766,520304.512,3399.746,0.6577122564197831366097328652,um2
saturated_dynamic_mw,saturated,dynamic_mw,387.81,49.27,-338.54,-87.2953250302983419715840231,mW
saturated_clock_plus_sequential_mw,saturated,clock_plus_sequential_mw,378.1998406,40.4933124,-337.7065282,-89.29314398024101123854360503,mW
saturated_leakage_mw,saturated,leakage_mw,17.7,13.399999999999999,-4.300000000000001,-24.29378531073446892655367232,mW
saturated_total_mw,saturated,total_mw,405,62.7,-342.3,-84.51851851851851851851851852,mW
saturated_dynamic_energy_pj_per_byte,saturated,dynamic_energy_pj_per_byte,57.05710344827586206896551724,7.248919540229885057471264368,-49.80818390804597701149425287,-87.2953250302983419715840231,pJ/B
saturated_incremental_total_energy_pj_per_byte,saturated,incremental_total_energy_pj_per_byte,25.74712643678160919540229885,3.310344827586206896551724138,-22.43678160919540229885057471,-87.14285714285714285714285713,pJ/B
