point_id,variant,workload,group,internal_mw,switching_mw,dynamic_mw,leakage_mw,total_mw
s0_idle,S0,idle,clock_network,0,0,0,0,0
s0_idle,S0,idle,register,212.08,0,212.08,9.0208,221.1
s0_idle,S0,idle,sequential,0,0,0,0,0
s0_idle,S0,idle,combinational,0,0,0,8.613999999999999,8.614
s0_bursty,S0,bursty,clock_network,0,0,0,0,0
s0_bursty,S0,bursty,register,381.52,0.10767910000000001,381.6276791,8.8426,390.47
s0_bursty,S0,bursty,sequential,0,0,0,0,0
s0_bursty,S0,bursty,combinational,1.4111,6.2164,7.6275,8.7377,16.365000000000002
s0_saturated,S0,saturated,clock_network,0,0,0,0,0
s0_saturated,S0,saturated,register,378.06,0.1398406,378.1998406,8.8532,387.06
s0_saturated,S0,saturated,sequential,0,0,0,0,0
s0_saturated,S0,saturated,combinational,1.7909000000000002,7.673100000000001,9.464,8.8368,18.3
s1_idle,S1,idle,clock_network,2.3970000000000002,0,2.3970000000000002,0.051156,2.4481
s1_idle,S1,idle,register,24.457,0,24.457,8.9763,33.433
s1_idle,S1,idle,sequential,0,0,0,0,0
s1_idle,S1,idle,combinational,0,0,0,4.3625,4.3625
s1_bursty,S1,bursty,clock_network,2.4097,0.21008410000000002,2.6197841,0.051147,2.6709
s1_bursty,S1,bursty,register,37.236000000000004,0.09542959999999999,37.33142960000001,8.944799999999999,46.284
s1_bursty,S1,bursty,sequential,0,0,0,0,0
s1_bursty,S1,bursty,combinational,1.3703,5.7602,7.1305000000000005,4.3746,11.505
s1_saturated,S1,saturated,clock_network,2.4131,0.2641073,2.6772073,0.051144999999999996,2.7283000000000004
s1_saturated,S1,saturated,register,37.693,0.1231051,37.8161051,8.9735,46.799
s1_saturated,S1,saturated,sequential,0,0,0,0,0
s1_saturated,S1,saturated,combinational,1.7357,7.0853,8.821,4.4035,13.225
