artifact_id,role,published_payload,size_bytes,sha256,identity_note
u5_bitstream,programmed_bitstream,false,7167253,0aff10f9479ae96b99bb525b42f486d8dd4904b2b88e8057080abf375b7645fa,external binary retained privately
u5_throughput_elf,downloaded_sdk_elf,false,276188,4c1cfd143641d88e405c7d6384a9f17f629f0416fda98c3aa37e76730b174438,external binary retained privately
u5_original_sdk_log,identity_and_download_log,false,112593,7059bf95c533e4ee0cc47c1c018bde70246621a1c79071d8f9ecb03e83777ec4,original contains private paths and JTAG serial
u5_reference_helloworld,reproduction_reference_source,true,34607,48f94f9dd87223bbfd1cd58558f7380bdc5f521d36373b5f24cc48b4d351f902,operator-supplied source; no retained source-to-ELF build link
u5_debugger_transcript,operator_transcribed_debugger_fields,true,1026,379c2d58970bba2df1e80be6793c8cbe29c516f7be842aa297ffe1caa16c2d03,public field mapping; no retained screenshot or memory export
u5_routed_checkpoint,routed_implementation_checkpoint,false,42310199,8cb63300153de63e084be7d18de58711e08f730e4f2e296155105e46df5cf597,external Vivado artifact retained privately
u5_timing_summary,routed_timing_summary,false,289710,62c5cea31dad5e60b5a847acfa631c4c456f7bd6781267a9088f159b56be050f,external Vivado report retained privately
u5_utilization_summary,routed_utilization,false,12952,5d9f2ee03a96712e49eee99d88dca316f1780bad12f0553e72caeda63c17b68f,external Vivado report retained privately
u5_drc_summary,routed_drc,false,56880,af864d4608566dcc31ee948c93e2763e9658c65ae78347fe73858437a60916c9,external Vivado report retained privately
u5_route_status,route_status,false,651,42be12a8a761bf9604a3024ad62fbddd79e6575b878c32218bf2e1547a4e076e,external Vivado report retained privately
u5_prefetch_regression,direct_prefetch_regression_log,false,2326,6db97814aa92da5664081cfa4feb0f68b4fa301d975e4b342ee997cb37aca015,external ModelSim transcript retained privately
