artifact_id,retention,role,size_bytes,sha256
slvc_synth_dcp,private_external,SLVC synthesis checkpoint,11293399,093752e913351b34e1bc99107d777d5a1f2fdb05d9db5a490383231f95a35d3d
slvc_routed_dcp,private_external,SLVC routed identity checkpoint,42310199,8cb63300153de63e084be7d18de58711e08f730e4f2e296155105e46df5cf597
slvc_bitstream,private_external,protected U5 bitstream identity,7167253,0aff10f9479ae96b99bb525b42f486d8dd4904b2b88e8057080abf375b7645fa
slvc_resource_counts,private_external,sanitized hierarchy extraction,1775,cea80165bd8edc0edcdb9c6f44797db8549dc0fcda4f181d4eb2e1b72fb68c4d
fifo_resource_counts,private_external,FIFO OOC counters,174,25501cdbae5e8f71cea9836fdf13b0346a9ac81059b4e6b8654018e6b3bf01d5
mcdma_resource_counts,private_external,MCDMA OOC counters,211,ff817dd778078cad7e67e889649430367845ae38da50996687071e13e053c03e
fifo_baseline_rtl,private_external,generated FIFO baseline RTL,3898,d21557db4dea0a69cee11d23845bfa33f8c980a0878f4c6612ad96d1092e516c
fifo_ooc_script,private_external,FIFO OOC Vivado script,2138,e4b6eee14101281647b7ff53ed507c71f3fe60d74b1399df8e8cc24d88536128
mcdma_ooc_script,private_external,MCDMA OOC Vivado script,3831,cb5fbe2908e17478cee9a25c66d24fb5aa444004b345bf07d7095bde85eb062c
slvc_extract_script,private_external,SLVC checkpoint extraction script,3910,7e097186fa40b0f9627f7c47da8d7db7db8d40100fc23e0c2260e857e5a3a981
summary_script,private_external,Decimal comparison generator,14600,b583472ccc47be2fb7b40c12f705ec2f41677c3ef65708c6e4ae0576ab1cfac2
