point_id,scenario,frames,payload_bytes,model,response_latency_cycles,service_percent,mem_phase_ns,status,blocked_by
rx_peak_phase1,rx_peak,1024,4096,HP0_SHARED,16,100,1,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_peak_phase1,loopback_peak,1024,4096,HP0_SHARED,16,100,1,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
rx_peak_phase3,rx_peak,1024,4096,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_peak_phase3,loopback_peak,1024,4096,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
rx_peak_phase7,rx_peak,1024,4096,HP0_SHARED,16,100,7,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_peak_phase7,loopback_peak,1024,4096,HP0_SHARED,16,100,7,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
rx_peak_ideal_split,rx_peak,1024,4096,IDEAL_SPLIT,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_peak_ideal_split,loopback_peak,1024,4096,IDEAL_SPLIT,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
rx_size_64,rx_size,1024,64,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_size_64,loopback_size,1024,64,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
rx_size_128,rx_size,1024,128,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_size_128,loopback_size,1024,128,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
rx_size_256,rx_size,1024,256,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_size_256,loopback_size,1024,256,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
rx_size_1024,rx_size,1024,1024,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_size_1024,loopback_size,1024,1024,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
rx_size_4096,rx_size,1024,4096,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
loopback_size_4096,loopback_size,1024,4096,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
mixed16,mixed16,1024,mixed_64_128_256_1024_4096,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l8_s100,hp0_sensitivity,1024,4096,HP0_SHARED,8,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l8_s75,hp0_sensitivity,1024,4096,HP0_SHARED,8,75,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l8_s50,hp0_sensitivity,1024,4096,HP0_SHARED,8,50,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l16_s100,hp0_sensitivity,1024,4096,HP0_SHARED,16,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l16_s75,hp0_sensitivity,1024,4096,HP0_SHARED,16,75,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l16_s50,hp0_sensitivity,1024,4096,HP0_SHARED,16,50,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l32_s100,hp0_sensitivity,1024,4096,HP0_SHARED,32,100,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l32_s75,hp0_sensitivity,1024,4096,HP0_SHARED,32,75,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
hp0_l32_s50,hp0_sensitivity,1024,4096,HP0_SHARED,32,50,3,NOT_RUN_PREREQUISITE,ASYNC64_SOURCE_PAYLOAD_WINDOW_CONTRACT
