point_key,point_id,platform,samples,min_cycles,p50_cycles,p95_cycles,p99_cycles,max_cycles
windows:rx_peak_phase1,rx_peak_phase1,windows,1024,702,1498,1499,1499,1499
windows:loopback_peak_phase1,loopback_peak_phase1,windows,1024,1573,1990,1990,1990,1990
windows:rx_peak_phase3,rx_peak_phase3,windows,1024,702,1498,1499,1499,1499
windows:loopback_peak_phase3,loopback_peak_phase3,windows,1024,1573,1990,1990,1990,1990
windows:rx_peak_phase7,rx_peak_phase7,windows,1024,702,1498,1499,1499,1499
windows:loopback_peak_phase7,loopback_peak_phase7,windows,1024,1573,1990,1990,1990,1990
windows:rx_peak_ideal_split,rx_peak_ideal_split,windows,1024,702,1498,1499,1499,1499
windows:loopback_peak_ideal_split,loopback_peak_ideal_split,windows,1024,1155,1164,1164,1164,1164
windows:rx_size_64,rx_size_64,windows,1024,135,634,634,634,634
windows:loopback_size_64,loopback_size_64,windows,1024,155,155,155,155,155
windows:rx_size_128,rx_size_128,windows,1024,144,674,674,674,674
windows:loopback_size_128,loopback_size_128,windows,1024,163,163,163,163,163
windows:rx_size_256,rx_size_256,windows,1024,162,646,646,646,646
windows:loopback_size_256,loopback_size_256,windows,1024,196,197,197,197,197
windows:rx_size_1024,rx_size_1024,windows,1024,270,1068,1068,1068,1068
windows:loopback_size_1024,loopback_size_1024,windows,1024,421,454,454,454,454
windows:rx_size_4096,rx_size_4096,windows,1024,702,1498,1499,1499,1499
windows:loopback_size_4096,loopback_size_4096,windows,1024,1573,1990,1990,1990,1990
windows:mixed16,mixed16,windows,1024,155,729,1441,1444,1444
windows:hp0_l8_s100,hp0_l8_s100,windows,1024,1573,2022,2022,2022,2022
windows:hp0_l8_s75,hp0_l8_s75,windows,1024,2088,2714,2714,2714,2714
windows:hp0_l8_s50,hp0_l8_s50,windows,1024,3110,4074,4074,4074,4074
windows:hp0_l16_s100,hp0_l16_s100,windows,1024,1573,1990,1990,1990,1990
windows:hp0_l16_s75,hp0_l16_s75,windows,1024,2088,2682,2682,2682,2682
windows:hp0_l16_s50,hp0_l16_s50,windows,1024,3114,4058,4058,4058,4058
windows:hp0_l32_s100,hp0_l32_s100,windows,1024,1573,1926,1926,1926,1926
windows:hp0_l32_s75,hp0_l32_s75,windows,1024,2088,2618,2618,2618,2618
windows:hp0_l32_s50,hp0_l32_s50,windows,1024,3114,3994,3994,3994,3994
linux:rx_peak_phase1,rx_peak_phase1,linux,1024,702,1498,1499,1499,1499
linux:loopback_peak_phase1,loopback_peak_phase1,linux,1024,1573,1990,1990,1990,1990
linux:rx_peak_phase3,rx_peak_phase3,linux,1024,702,1498,1499,1499,1499
linux:loopback_peak_phase3,loopback_peak_phase3,linux,1024,1573,1990,1990,1990,1990
linux:rx_peak_phase7,rx_peak_phase7,linux,1024,702,1498,1499,1499,1499
linux:loopback_peak_phase7,loopback_peak_phase7,linux,1024,1573,1990,1990,1990,1990
linux:rx_peak_ideal_split,rx_peak_ideal_split,linux,1024,702,1498,1499,1499,1499
linux:loopback_peak_ideal_split,loopback_peak_ideal_split,linux,1024,1155,1164,1164,1164,1164
linux:rx_size_64,rx_size_64,linux,1024,135,634,634,634,634
linux:loopback_size_64,loopback_size_64,linux,1024,155,155,155,155,155
linux:rx_size_128,rx_size_128,linux,1024,144,674,674,674,674
linux:loopback_size_128,loopback_size_128,linux,1024,163,163,163,163,163
linux:rx_size_256,rx_size_256,linux,1024,162,646,646,646,646
linux:loopback_size_256,loopback_size_256,linux,1024,196,197,197,197,197
linux:rx_size_1024,rx_size_1024,linux,1024,270,1068,1068,1068,1068
linux:loopback_size_1024,loopback_size_1024,linux,1024,421,454,454,454,454
linux:rx_size_4096,rx_size_4096,linux,1024,702,1498,1499,1499,1499
linux:loopback_size_4096,loopback_size_4096,linux,1024,1573,1990,1990,1990,1990
linux:mixed16,mixed16,linux,1024,155,729,1441,1444,1444
linux:hp0_l8_s100,hp0_l8_s100,linux,1024,1573,2022,2022,2022,2022
linux:hp0_l8_s75,hp0_l8_s75,linux,1024,2088,2714,2714,2714,2714
linux:hp0_l8_s50,hp0_l8_s50,linux,1024,3110,4074,4074,4074,4074
linux:hp0_l16_s100,hp0_l16_s100,linux,1024,1573,1990,1990,1990,1990
linux:hp0_l16_s75,hp0_l16_s75,linux,1024,2088,2682,2682,2682,2682
linux:hp0_l16_s50,hp0_l16_s50,linux,1024,3114,4058,4058,4058,4058
linux:hp0_l32_s100,hp0_l32_s100,linux,1024,1573,1926,1926,1926,1926
linux:hp0_l32_s75,hp0_l32_s75,linux,1024,2088,2618,2618,2618,2618
linux:hp0_l32_s50,hp0_l32_s50,linux,1024,3114,3994,3994,3994,3994
windows:loopback_ladder_1,loopback_ladder_1,windows,1,1156,1156,1156,1156,1156
windows:loopback_ladder_2,loopback_ladder_2,windows,2,1573,1573,1573,1573,1573
windows:loopback_ladder_5,loopback_ladder_5,windows,5,1573,1990,1990,1990,1990
windows:loopback_ladder_32,loopback_ladder_32,windows,32,1573,1990,1990,1990,1990
windows:loopback_ladder_1024,loopback_ladder_1024,windows,1024,1573,1990,1990,1990,1990
linux:loopback_ladder_1,loopback_ladder_1,linux,1,1156,1156,1156,1156,1156
linux:loopback_ladder_2,loopback_ladder_2,linux,2,1573,1573,1573,1573,1573
linux:loopback_ladder_5,loopback_ladder_5,linux,5,1573,1990,1990,1990,1990
linux:loopback_ladder_32,loopback_ladder_32,linux,32,1573,1990,1990,1990,1990
linux:loopback_ladder_1024,loopback_ladder_1024,linux,1024,1573,1990,1990,1990,1990
