point_key,point_id,platform,simulator,scenario,frames,payload_bytes,shared_service,response_latency_cycles,service_percent,mem_phase_ns,clock_mhz,hw_cycles,steady_cycles,rx_axis_valid,rx_axis_ready,rx_axis_fire,tx_axis_valid,tx_axis_ready,tx_axis_fire,main_read_bytes,rx_payload_write_bytes,cq_bus_write_bytes,main_ar_bursts,main_aw_bursts,rx_aw_bursts,rx_peak_outstanding,tx_peak_outstanding,rx_input_stall,cdc_payload_stall,aw_stall,w_stall,b_stall,ar_stall,r_stall,rx_cqe,tx_cqe,frame_fail,frame_drop,deadlock,protocol_error,payload_crc,latency_count,status,pass_marker
windows:rx_peak_phase1,rx_peak_phase1,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,rx_peak,1024,4194304,1,16,100,1,100,625756,625670,623843,68521,66560,0,625804,0,0,4194304,65536,0,2048,32768,4,0,557283,454656,0,0,0,0,0,1024,0,0,0,0,0,c5e7b05a,1024,PASS,true
windows:loopback_peak_phase1,loopback_peak_phase1,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,loopback_peak,1024,4194304,1,16,100,1,100,1094782,1094626,220010,927075,66560,204665,941397,66560,4259840,4194304,131072,33792,4096,32768,4,4,153450,790200,0,0,0,0,0,1024,1024,0,0,0,0,c5e7b05a,1024,PASS,true
windows:rx_peak_phase3,rx_peak_phase3,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,rx_peak,1024,4194304,1,16,100,3,100,625756,625670,623843,68521,66560,0,625804,0,0,4194304,65536,0,2048,32768,4,0,557283,454656,0,0,0,0,0,1024,0,0,0,0,0,c5e7b05a,1024,PASS,true
windows:loopback_peak_phase3,loopback_peak_phase3,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,loopback_peak,1024,4194304,1,16,100,3,100,1094782,1094626,220010,927075,66560,204665,941397,66560,4259840,4194304,131072,33792,4096,32768,4,4,153450,790200,0,0,0,0,0,1024,1024,0,0,0,0,c5e7b05a,1024,PASS,true
windows:rx_peak_phase7,rx_peak_phase7,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,rx_peak,1024,4194304,1,16,100,7,100,625756,625670,623843,68521,66560,0,625804,0,0,4194304,65536,0,2048,32768,4,0,557283,454656,0,0,0,0,0,1024,0,0,0,0,0,c5e7b05a,1024,PASS,true
windows:loopback_peak_phase7,loopback_peak_phase7,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,loopback_peak,1024,4194304,1,16,100,7,100,1094782,1094626,220010,927075,66560,204665,941397,66560,4259840,4194304,131072,33792,4096,32768,4,4,153450,790200,0,0,0,0,0,1024,1024,0,0,0,0,c5e7b05a,1024,PASS,true
windows:rx_peak_ideal_split,rx_peak_ideal_split,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,rx_peak,1024,4194304,0,16,100,3,100,625756,625670,623843,68521,66560,0,625804,0,0,4194304,65536,0,2048,32768,4,0,557283,454656,0,0,0,0,0,1024,0,0,0,0,0,c5e7b05a,1024,PASS,true
windows:loopback_peak_ideal_split,loopback_peak_ideal_split,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,loopback_peak,1024,4194304,0,16,100,3,100,670236,670081,184205,546518,66560,177044,552656,66560,4259840,4194304,131072,33792,4096,32768,4,4,117645,454656,0,0,0,0,0,1024,1024,0,0,0,0,c5e7b05a,1024,PASS,true
windows:rx_size_64,rx_size_64,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,rx_size,1024,65536,1,16,100,3,100,109597,109511,107941,2626,2048,0,109645,0,0,65536,65536,0,2048,1024,1,0,105893,0,0,0,0,0,0,1024,0,0,0,0,0,4b72bab7,1024,PASS,true
windows:loopback_size_64,loopback_size_64,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,loopback_size,1024,65536,1,16,100,3,100,144437,144274,2048,144502,2048,2048,144502,2048,131072,65536,131072,2048,4096,1024,1,1,0,0,0,0,0,0,0,1024,1024,0,0,0,0,4b72bab7,1024,PASS,true
windows:rx_size_128,rx_size_128,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,rx_size,1024,131072,1,16,100,3,100,117790,117704,116200,4704,3072,0,117838,0,0,131072,65536,0,2048,1024,1,0,113128,10240,0,0,0,0,0,1024,0,0,0,0,0,4d5c51fb,1024,PASS,true
windows:loopback_size_128,loopback_size_128,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,loopback_size,1024,131072,1,16,100,3,100,152629,152474,3072,152694,3072,3072,152694,3072,196608,131072,131072,2048,4096,1024,1,1,0,10240,0,0,0,0,0,1024,1024,0,0,0,0,4d5c51fb,1024,PASS,true
windows:rx_size_256,rx_size_256,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,rx_size,1024,262144,1,16,100,3,100,134176,134090,132636,6707,5120,0,134224,0,0,262144,65536,0,2048,2048,2,0,127516,24576,0,0,0,0,0,1024,0,0,0,0,0,619a4e04,1024,PASS,true
windows:loopback_size_256,loopback_size_256,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,loopback_size,1024,262144,1,16,100,3,100,173122,172966,5120,173187,5120,5120,173187,5120,327680,262144,131072,3072,4096,2048,2,2,0,24576,0,0,0,0,0,1024,1024,0,0,0,0,619a4e04,1024,PASS,true
windows:rx_size_1024,rx_size_1024,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,rx_size,1024,1048576,1,16,100,3,100,232492,232406,230626,19322,17408,0,232540,0,0,1048576,65536,0,2048,8192,4,0,213218,110592,0,0,0,0,0,1024,0,0,0,0,0,d72cab32,1024,PASS,true
windows:loopback_size_1024,loopback_size_1024,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,loopback_size,1024,1048576,1,16,100,3,100,308350,308194,17408,308415,17408,17408,308415,17408,1114112,1048576,131072,9216,4096,8192,4,4,0,110592,0,0,0,0,0,1024,1024,0,0,0,0,d72cab32,1024,PASS,true
