point_key,point_id,platform,rx_input_stall,cdc_payload_stall,aw_stall,w_stall,b_stall,ar_stall,r_stall
windows:rx_peak_phase1,rx_peak_phase1,windows,557283,454656,0,0,0,0,0
windows:loopback_peak_phase1,loopback_peak_phase1,windows,153450,790200,0,0,0,0,0
windows:rx_peak_phase3,rx_peak_phase3,windows,557283,454656,0,0,0,0,0
windows:loopback_peak_phase3,loopback_peak_phase3,windows,153450,790200,0,0,0,0,0
windows:rx_peak_phase7,rx_peak_phase7,windows,557283,454656,0,0,0,0,0
windows:loopback_peak_phase7,loopback_peak_phase7,windows,153450,790200,0,0,0,0,0
windows:rx_peak_ideal_split,rx_peak_ideal_split,windows,557283,454656,0,0,0,0,0
windows:loopback_peak_ideal_split,loopback_peak_ideal_split,windows,117645,454656,0,0,0,0,0
windows:rx_size_64,rx_size_64,windows,105893,0,0,0,0,0,0
windows:loopback_size_64,loopback_size_64,windows,0,0,0,0,0,0,0
windows:rx_size_128,rx_size_128,windows,113128,10240,0,0,0,0,0
windows:loopback_size_128,loopback_size_128,windows,0,10240,0,0,0,0,0
windows:rx_size_256,rx_size_256,windows,127516,24576,0,0,0,0,0
windows:loopback_size_256,loopback_size_256,windows,0,24576,0,0,0,0,0
windows:rx_size_1024,rx_size_1024,windows,213218,110592,0,0,0,0,0
windows:loopback_size_1024,loopback_size_1024,windows,0,110592,0,0,0,0,0
windows:rx_size_4096,rx_size_4096,windows,557283,454656,0,0,0,0,0
windows:loopback_size_4096,loopback_size_4096,windows,153450,790200,0,0,0,0,0
windows:mixed16,mixed16,windows,0,143045,0,0,0,0,0
windows:hp0_l8_s100,hp0_l8_s100,windows,210738,814752,0,0,0,0,0
windows:hp0_l8_s75,hp0_l8_s75,windows,318153,1122792,0,0,0,0,0
windows:hp0_l8_s50,hp0_l8_s50,windows,528891,1719500,0,0,0,0,0
windows:hp0_l16_s100,hp0_l16_s100,windows,153450,790200,0,0,0,0,0
windows:hp0_l16_s75,hp0_l16_s75,windows,260865,1098248,0,0,0,0,0
windows:hp0_l16_s50,hp0_l16_s50,windows,471603,1711324,0,0,0,0,0
windows:hp0_l32_s100,hp0_l32_s100,windows,38874,741096,0,0,0,0,0
windows:hp0_l32_s75,hp0_l32_s75,windows,146289,1049160,0,0,0,0,0
windows:hp0_l32_s50,hp0_l32_s50,windows,357027,1662236,0,0,0,0,0
linux:rx_peak_phase1,rx_peak_phase1,linux,557283,454656,0,0,0,0,0
linux:loopback_peak_phase1,loopback_peak_phase1,linux,153450,790200,0,0,0,0,0
linux:rx_peak_phase3,rx_peak_phase3,linux,557283,454656,0,0,0,0,0
linux:loopback_peak_phase3,loopback_peak_phase3,linux,153450,790200,0,0,0,0,0
linux:rx_peak_phase7,rx_peak_phase7,linux,557283,454656,0,0,0,0,0
linux:loopback_peak_phase7,loopback_peak_phase7,linux,153450,790200,0,0,0,0,0
linux:rx_peak_ideal_split,rx_peak_ideal_split,linux,557283,454656,0,0,0,0,0
linux:loopback_peak_ideal_split,loopback_peak_ideal_split,linux,117645,454656,0,0,0,0,0
linux:rx_size_64,rx_size_64,linux,105893,0,0,0,0,0,0
linux:loopback_size_64,loopback_size_64,linux,0,0,0,0,0,0,0
linux:rx_size_128,rx_size_128,linux,113128,10240,0,0,0,0,0
linux:loopback_size_128,loopback_size_128,linux,0,10240,0,0,0,0,0
linux:rx_size_256,rx_size_256,linux,127516,24576,0,0,0,0,0
linux:loopback_size_256,loopback_size_256,linux,0,24576,0,0,0,0,0
linux:rx_size_1024,rx_size_1024,linux,213218,110592,0,0,0,0,0
linux:loopback_size_1024,loopback_size_1024,linux,0,110592,0,0,0,0,0
linux:rx_size_4096,rx_size_4096,linux,557283,454656,0,0,0,0,0
linux:loopback_size_4096,loopback_size_4096,linux,153450,790200,0,0,0,0,0
linux:mixed16,mixed16,linux,0,143045,0,0,0,0,0
linux:hp0_l8_s100,hp0_l8_s100,linux,210738,814752,0,0,0,0,0
linux:hp0_l8_s75,hp0_l8_s75,linux,318153,1122792,0,0,0,0,0
linux:hp0_l8_s50,hp0_l8_s50,linux,528891,1719500,0,0,0,0,0
linux:hp0_l16_s100,hp0_l16_s100,linux,153450,790200,0,0,0,0,0
linux:hp0_l16_s75,hp0_l16_s75,linux,260865,1098248,0,0,0,0,0
linux:hp0_l16_s50,hp0_l16_s50,linux,471603,1711324,0,0,0,0,0
linux:hp0_l32_s100,hp0_l32_s100,linux,38874,741096,0,0,0,0,0
linux:hp0_l32_s75,hp0_l32_s75,linux,146289,1049160,0,0,0,0,0
linux:hp0_l32_s50,hp0_l32_s50,linux,357027,1662236,0,0,0,0,0
windows:loopback_ladder_1,loopback_ladder_1,windows,0,444,0,0,0,0,0
windows:loopback_ladder_2,loopback_ladder_2,windows,150,1216,0,0,0,0,0
windows:loopback_ladder_5,loopback_ladder_5,windows,600,3532,0,0,0,0,0
windows:loopback_ladder_32,loopback_ladder_32,windows,4650,24376,0,0,0,0,0
windows:loopback_ladder_1024,loopback_ladder_1024,windows,153450,790200,0,0,0,0,0
linux:loopback_ladder_1,loopback_ladder_1,linux,0,444,0,0,0,0,0
linux:loopback_ladder_2,loopback_ladder_2,linux,150,1216,0,0,0,0,0
linux:loopback_ladder_5,loopback_ladder_5,linux,600,3532,0,0,0,0,0
linux:loopback_ladder_32,loopback_ladder_32,linux,4650,24376,0,0,0,0,0
linux:loopback_ladder_1024,loopback_ladder_1024,linux,153450,790200,0,0,0,0,0
