point_key,point_id,platform,channel,completions,min_gap_cycles,max_gap_cycles
windows:mixed16,mixed16,windows,0,64,4992,6216
windows:mixed16,mixed16,windows,1,64,5011,5980
windows:mixed16,mixed16,windows,2,64,5012,5936
windows:mixed16,mixed16,windows,3,64,5039,6154
windows:mixed16,mixed16,windows,4,64,5082,5885
windows:mixed16,mixed16,windows,5,64,5092,5919
windows:mixed16,mixed16,windows,6,64,5098,5823
windows:mixed16,mixed16,windows,7,64,5033,5928
windows:mixed16,mixed16,windows,8,64,5039,5911
windows:mixed16,mixed16,windows,9,64,5082,5882
windows:mixed16,mixed16,windows,10,64,5092,5918
windows:mixed16,mixed16,windows,11,64,5098,5824
windows:mixed16,mixed16,windows,12,64,5033,5928
windows:mixed16,mixed16,windows,13,64,5039,5911
windows:mixed16,mixed16,windows,14,64,4787,5882
windows:mixed16,mixed16,windows,15,64,4852,5918
linux:mixed16,mixed16,linux,0,64,4992,6216
linux:mixed16,mixed16,linux,1,64,5011,5980
linux:mixed16,mixed16,linux,2,64,5012,5936
linux:mixed16,mixed16,linux,3,64,5039,6154
linux:mixed16,mixed16,linux,4,64,5082,5885
linux:mixed16,mixed16,linux,5,64,5092,5919
linux:mixed16,mixed16,linux,6,64,5098,5823
linux:mixed16,mixed16,linux,7,64,5033,5928
linux:mixed16,mixed16,linux,8,64,5039,5911
linux:mixed16,mixed16,linux,9,64,5082,5882
linux:mixed16,mixed16,linux,10,64,5092,5918
linux:mixed16,mixed16,linux,11,64,5098,5824
linux:mixed16,mixed16,linux,12,64,5033,5928
linux:mixed16,mixed16,linux,13,64,5039,5911
linux:mixed16,mixed16,linux,14,64,4787,5882
linux:mixed16,mixed16,linux,15,64,4852,5918
