point_key,point_id,platform,window,payload_bytes,cycles,mbps_per_mhz,mb_per_s_at_100mhz,gbits_per_s_at_100mhz,model_limit_mbps_per_mhz,efficiency_percent,frames_per_s_at_100mhz,resume_eligible
windows:rx_peak_phase1,rx_peak_phase1,windows,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
windows:rx_peak_phase1,rx_peak_phase1,windows,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
windows:loopback_peak_phase1,loopback_peak_phase1,windows,hardware_end_to_end,4194304,1094782,3.831177,383.117735,3.064942,4.000000,95.779434,93534.603236,false
windows:loopback_peak_phase1,loopback_peak_phase1,windows,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
windows:rx_peak_phase3,rx_peak_phase3,windows,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
windows:rx_peak_phase3,rx_peak_phase3,windows,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
windows:loopback_peak_phase3,loopback_peak_phase3,windows,hardware_end_to_end,4194304,1094782,3.831177,383.117735,3.064942,4.000000,95.779434,93534.603236,false
windows:loopback_peak_phase3,loopback_peak_phase3,windows,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
windows:rx_peak_phase7,rx_peak_phase7,windows,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
windows:rx_peak_phase7,rx_peak_phase7,windows,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
windows:loopback_peak_phase7,loopback_peak_phase7,windows,hardware_end_to_end,4194304,1094782,3.831177,383.117735,3.064942,4.000000,95.779434,93534.603236,false
windows:loopback_peak_phase7,loopback_peak_phase7,windows,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
windows:rx_peak_ideal_split,rx_peak_ideal_split,windows,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
windows:rx_peak_ideal_split,rx_peak_ideal_split,windows,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
windows:loopback_peak_ideal_split,loopback_peak_ideal_split,windows,hardware_end_to_end,4194304,670236,6.257951,625.795093,5.006361,8.000000,78.224387,152782.005144,false
windows:loopback_peak_ideal_split,loopback_peak_ideal_split,windows,datapath_steady_state,4194304,670081,6.259398,625.939849,5.007519,8.000000,78.242481,152817.345963,false
windows:rx_size_64,rx_size_64,windows,hardware_end_to_end,65536,109597,0.597973,59.797257,0.478378,8.000000,7.474657,934332.144128,false
windows:rx_size_64,rx_size_64,windows,datapath_steady_state,65536,109511,0.598442,59.844217,0.478754,8.000000,7.480527,935065.883792,false
windows:loopback_size_64,loopback_size_64,windows,hardware_end_to_end,65536,144437,0.453734,45.373415,0.362987,4.000000,11.343354,708959.615611,false
windows:loopback_size_64,loopback_size_64,windows,datapath_steady_state,65536,144274,0.454247,45.424678,0.363397,4.000000,11.356170,709760.594424,false
windows:rx_size_128,rx_size_128,windows,hardware_end_to_end,131072,117790,1.112760,111.276000,0.890208,8.000000,13.909500,869343.747347,false
windows:rx_size_128,rx_size_128,windows,datapath_steady_state,131072,117704,1.113573,111.357303,0.890858,8.000000,13.919663,869978.930198,false
windows:loopback_size_128,loopback_size_128,windows,hardware_end_to_end,131072,152629,0.858762,85.876210,0.687010,4.000000,21.469052,670907.887754,false
windows:loopback_size_128,loopback_size_128,windows,datapath_steady_state,131072,152474,0.859635,85.963509,0.687708,4.000000,21.490877,671589.910411,false
windows:rx_size_256,rx_size_256,windows,hardware_end_to_end,262144,134176,1.953732,195.373241,1.562986,8.000000,24.421655,763176.723110,false
windows:rx_size_256,rx_size_256,windows,datapath_steady_state,262144,134090,1.954985,195.498546,1.563988,8.000000,24.437318,763666.194347,false
windows:loopback_size_256,loopback_size_256,windows,hardware_end_to_end,262144,173122,1.514215,151.421541,1.211372,4.000000,37.855385,591490.394057,false
windows:loopback_size_256,loopback_size_256,windows,datapath_steady_state,262144,172966,1.515581,151.558110,1.212465,4.000000,37.889527,592023.865962,false
windows:rx_size_1024,rx_size_1024,windows,hardware_end_to_end,1048576,232492,4.510159,451.015949,3.608128,8.000000,56.376994,440445.262633,false
windows:rx_size_1024,rx_size_1024,windows,datapath_steady_state,1048576,232406,4.511828,451.182844,3.609463,8.000000,56.397855,440608.245914,false
windows:loopback_size_1024,loopback_size_1024,windows,hardware_end_to_end,1048576,308350,3.400603,340.060321,2.720483,4.000000,85.015080,332090.157289,false
windows:loopback_size_1024,loopback_size_1024,windows,datapath_steady_state,1048576,308194,3.402325,340.232451,2.721860,4.000000,85.058113,332258.252919,false
windows:rx_size_4096,rx_size_4096,windows,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
windows:rx_size_4096,rx_size_4096,windows,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
windows:loopback_size_4096,loopback_size_4096,windows,hardware_end_to_end,4194304,1094782,3.831177,383.117735,3.064942,4.000000,95.779434,93534.603236,false
windows:loopback_size_4096,loopback_size_4096,windows,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
windows:mixed16,mixed16,windows,hardware_end_to_end,1137344,340115,3.343998,334.399835,2.675199,4.000000,83.599959,301074.636520,false
windows:mixed16,mixed16,windows,datapath_steady_state,1137344,339960,3.345523,334.552300,2.676418,4.000000,83.638075,301211.907283,false
windows:hp0_l8_s100,hp0_l8_s100,windows,hardware_end_to_end,4194304,1094742,3.831317,383.131733,3.065054,4.000000,95.782933,93538.020830,false
windows:hp0_l8_s100,hp0_l8_s100,windows,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
windows:hp0_l8_s75,hp0_l8_s75,windows,hardware_end_to_end,4194304,1450068,2.892488,289.248780,2.313990,4.000000,72.312195,70617.377944,false
windows:hp0_l8_s75,hp0_l8_s75,windows,datapath_steady_state,4194304,1449892,2.892839,289.283891,2.314271,4.000000,72.320973,70625.950071,false
windows:hp0_l8_s50,hp0_l8_s50,windows,hardware_end_to_end,4194304,2160718,1.941162,194.116215,1.552930,4.000000,48.529054,47391.654071,false
windows:hp0_l8_s50,hp0_l8_s50,windows,datapath_steady_state,4194304,2160489,1.941368,194.136790,1.553094,4.000000,48.534198,47396.677326,false
windows:hp0_l16_s100,hp0_l16_s100,windows,hardware_end_to_end,4194304,1094782,3.831177,383.117735,3.064942,4.000000,95.779434,93534.603236,false
windows:hp0_l16_s100,hp0_l16_s100,windows,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
windows:hp0_l16_s75,hp0_l16_s75,windows,hardware_end_to_end,4194304,1450108,2.892408,289.240801,2.313926,4.000000,72.310200,70615.430023,false
windows:hp0_l16_s75,hp0_l16_s75,windows,datapath_steady_state,4194304,1449900,2.892823,289.282295,2.314258,4.000000,72.320574,70625.560383,false
windows:hp0_l16_s50,hp0_l16_s50,windows,hardware_end_to_end,4194304,2160758,1.941126,194.112622,1.552901,4.000000,48.528155,47390.776755,false
windows:hp0_l16_s50,hp0_l16_s50,windows,datapath_steady_state,4194304,2160497,1.941361,194.136071,1.553089,4.000000,48.534018,47396.501823,false
windows:hp0_l32_s100,hp0_l32_s100,windows,hardware_end_to_end,4194304,1094862,3.830897,383.089741,3.064718,4.000000,95.772435,93527.768796,false
windows:hp0_l32_s100,hp0_l32_s100,windows,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
windows:hp0_l32_s75,hp0_l32_s75,windows,hardware_end_to_end,4194304,1450188,2.892248,289.224845,2.313799,4.000000,72.306211,70611.534504,false
windows:hp0_l32_s75,hp0_l32_s75,windows,datapath_steady_state,4194304,1449916,2.892791,289.279103,2.314233,4.000000,72.319776,70624.781022,false
windows:hp0_l32_s50,hp0_l32_s50,windows,hardware_end_to_end,4194304,2160838,1.941054,194.105435,1.552843,4.000000,48.526359,47389.022222,false
windows:hp0_l32_s50,hp0_l32_s50,windows,datapath_steady_state,4194304,2160513,1.941346,194.134634,1.553077,4.000000,48.533658,47396.150822,false
linux:rx_peak_phase1,rx_peak_phase1,linux,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
linux:rx_peak_phase1,rx_peak_phase1,linux,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
linux:loopback_peak_phase1,loopback_peak_phase1,linux,hardware_end_to_end,4194304,1094782,3.831177,383.117735,3.064942,4.000000,95.779434,93534.603236,false
linux:loopback_peak_phase1,loopback_peak_phase1,linux,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
linux:rx_peak_phase3,rx_peak_phase3,linux,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
linux:rx_peak_phase3,rx_peak_phase3,linux,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
linux:loopback_peak_phase3,loopback_peak_phase3,linux,hardware_end_to_end,4194304,1094782,3.831177,383.117735,3.064942,4.000000,95.779434,93534.603236,false
linux:loopback_peak_phase3,loopback_peak_phase3,linux,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
linux:rx_peak_phase7,rx_peak_phase7,linux,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
linux:rx_peak_phase7,rx_peak_phase7,linux,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
linux:loopback_peak_phase7,loopback_peak_phase7,linux,hardware_end_to_end,4194304,1094782,3.831177,383.117735,3.064942,4.000000,95.779434,93534.603236,false
linux:loopback_peak_phase7,loopback_peak_phase7,linux,datapath_steady_state,4194304,1094626,3.831723,383.172335,3.065379,4.000000,95.793084,93547.933267,false
linux:rx_peak_ideal_split,rx_peak_ideal_split,linux,hardware_end_to_end,4194304,625756,6.702779,670.277872,5.362223,8.000000,83.784734,163642.058566,false
linux:rx_peak_ideal_split,rx_peak_ideal_split,linux,datapath_steady_state,4194304,625670,6.703700,670.370003,5.362960,8.000000,83.796250,163664.551601,false
linux:loopback_peak_ideal_split,loopback_peak_ideal_split,linux,hardware_end_to_end,4194304,670236,6.257951,625.795093,5.006361,8.000000,78.224387,152782.005144,false
